Name	Protein
Niben261Chr01g0585021.1	TCArel_486
Niben261Chr01g0944002.1	TCArel_487
Niben261Chr13g0253007.1	TCArel_490
Niben261Chr02g1087008.1	TCArel_491
Niben261Chr12g0194004.1	TCArel_492
Niben261Chr01g1724012.1	TCArel_493
Niben261Chr01g1346009.1	TCArel_494
Niben261Chr05g0770027.1	TCArel_495
Niben261Chr08g0028017.1	TCArel_497
Niben261Chr06g0490023.1	TCArel_498
Niben261Chr12g0661002.1	TCArel_499
Niben261Chr04g0411009.1	TCArel_500
Niben261Chr01g0212003.1	TCArel_501
Niben261Chr04g1205004.1	TCArel_502
Niben261Chr02g0480004.1	TCArel_503
Niben261Chr08g0029004.1	TCArel_504
Niben261Chr06g0490002.1	TCArel_506
Niben261Chr01g0307011.1	TCArel_508
Niben261Chr12g0585004.1	TCArel_509
Niben261Chr04g0839006.1	TCArel_511
Niben261Chr17g0936001.1	TCArel_512
Niben261Chr16g1321002.1	TCArel_513
Niben261Chr06g1238003.1	TCArel_514
Niben261Chr07g0246008.1	TCArel_515
Niben261Chr07g0819004.1	TCArel_517
Niben261Chr17g0749003.1	TCArel_518
Niben261Chr12g0830003.1	TCArel_520
Niben261Chr15g1062002.1	TCArel_521
Niben261Chr17g0769002.1	TCArel_524
Niben261Chr16g0522007.1	TCArel_525
Niben261Chr15g1260008.1	TCArel_527
Niben261Chr15g1274012.1	TCArel_528
Niben261Chr17g0776003.1	TCArel_530
Niben261Chr14g0789015.1	TCArel_531
Niben261Chr12g0859001.1	TCArel_538
Niben261Chr13g1166011.1	TCArel_539
Niben261Chr10g0954009.1	TCArel_540
Niben261Chr12g0906017.1	TCArel_541
Niben261Chr14g0404004.1	TCArel_542
Niben261Chr01g0849006.1	TCArel_543
Niben261Chr18g0479008.1	TCArel_544
Niben261Chr09g1130004.1	TCArel_545
Niben261Chr10g0272007.1	TCArel_546
Niben261Chr15g1178003.1	TCArel_549
Niben261Chr15g0430004.1	TCArel_550
Niben261Chr07g0936004.1	TCArel_551
Niben261Chr01g1654002.1	TCArel_553
Niben261Chr05g0864001.1	TCArel_554
Niben261Chr05g0830019.1	TCArel_555
Niben261Chr10g0830001.1	TCArel_556
Niben261Chr13g1267005.1	TCArel_557
Niben261Chr01g0430007.1	TCArel_558
Niben261Chr05g0843009.1	TCArel_559
Niben261Chr14g0663002.1	TCArel_560
Niben261Chr11g1358011.1	TCArel_561
Niben261Chr15g0728014.1	TCArel_562
Niben261Chr05g0649027.1	TCArel_563
Niben261Chr01g0964004.1	TCArel_566
Niben261Chr08g0781006.1	TCArel_567
Niben261Chr03g0801007.1	TCArel_568
Niben261Chr14g0768001.1	TCArel_569
Niben261Chr01g0961002.1	TCArel_570
Niben261Chr01g0961001.1	TCArel_571
Niben261Chr17g0827002.1	TCArel_575
Niben261Chr07g0484001.1	TCArel_577
Niben261Chr19g0560002.1	TCArel_578
Niben261Chr11g0842004.1	TCArel_579
Niben261Chr13g0061012.1	TCArel_580
Niben261Chr07g0613005.1	TCArel_581
Niben261Chr15g0275006.1	TCArel_582
Niben261Chr19g0531005.1	TCArel_583
Niben261Chr18g1177005.1	TCArel_584
Niben261Chr18g0707006.1	TCArel_587
Niben261Chr05g0475007.1	TCArel_588
Niben261Chr03g0961011.1	TCArel_589
Niben261Chr11g1147017.1	TCArel_590
Niben261Chr05g0681003.1	TCArel_591
Niben261Chr11g1331006.1	TCArel_592
Niben261Chr07g1483003.1	TCArel_593
Niben261Chr16g0425001.1	TCArel_594
Niben261Chr04g1680009.1	TCArel_596
Niben261Chr13g0685016.1	TCArel_597
Niben261Chr17g0122006.1	TCArel_598
Niben261Chr15g0605003.1	TCArel_599
Niben261Chr14g0583012.1	TCArel_600
Niben261Chr13g0685017.1	TCArel_601
Niben261Chr03g0977008.1	TCArel_602
Niben261Chr18g0714006.1	TCArel_603
Niben261Chr04g1147002.1	TCArel_605
Niben261Chr06g0135004.1	TCArel_606
Niben261Chr12g1501001.1	TCArel_607
Niben261Chr11g1404004.1	TCArel_608
Niben261Chr16g0359008.1	TCArel_609
Niben261Chr18g0422013.1	TCArel_610
Niben261Scf03281g0000005.1	TCArel_611
Niben261Chr12g0933006.1	TCArel_612
Niben261Chr04g1121010.1	TCArel_613
Niben261Chr09g0256001.1	TCArel_614
Niben261Chr06g0520004.1	TCArel_616
Niben261Chr14g0568028.1	TCArel_617
Niben261Chr08g1128013.1	TCArel_618
Niben261Chr07g1216015.1	TCArel_619
Niben261Chr11g1402006.1	TCArel_620
Niben261Chr12g0857003.1	TCArel_621
Niben261Chr19g0181007.1	TCArel_622
Niben261Chr05g0592003.1	TCArel_623
Niben261Chr15g0828032.1	TCArel_624
Niben261Chr17g1344002.1	TCArel_625
Niben261Chr09g0179011.1	TCArel_626
Niben261Chr14g0240018.1	TCArel_628
Niben261Chr06g0294003.1	TCArel_629
Niben261Chr12g1553005.1	TCArel_630
Niben261Chr13g1241012.1	TCArel_631
